Autokennzeichen;Stadt/Ort;Landkreis/Gemeinde;Bundesland
EIL*;Eisleben;Landkreis Mansfeld-Südharz;"Sachsen-Anhalt <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen-Anhalt.svg"" class=""flagfull"" alt=""Sachsen-Anhalt"" />"
EIN*;Einbeck;Landkreis Northeim;"Niedersachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Niedersachsen.svg"" class=""flagfull"" alt=""Niedersachsen"" />"
EIS*;Eisenberg;Saale-Holzland-Kreis;"Thüringen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Thueringen.svg"" class=""flagfull"" alt=""Thüringen"" />"
EL;Emsland;Landkreis Emsland;"Niedersachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Niedersachsen.svg"" class=""flagfull"" alt=""Niedersachsen"" />"
EM;Emmendingen;Landkreis Emmendingen;"Baden-Württemberg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Baden-Wuerttemberg.svg"" class=""flagfull"" alt=""Baden-Württemberg"" />"
EMD;Emden;Stadt Emden;"Niedersachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Niedersachsen.svg"" class=""flagfull"" alt=""Niedersachsen"" />"
EMS;Bad Ems;Rhein-Lahn-Kreis;"Rheinland-Pfalz <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Rheinland-Pfalz.svg"" class=""flagfull"" alt=""Rheinland-Pfalz"" />"
EN;Ennepe;Ennepe-Ruhr-Kreis;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
ER;Erlangen;Stadt Erlangen;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
ERB;Erbach (Odenwald);Odenwaldkreis;"Hessen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Hessen.svg"" class=""flagfull"" alt=""Hessen"" />"
ERH;Erlangen-Höchstadt;Landkreis Erlangen-Höchstadt;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
ERK*;Erkelenz;Kreis Heinsberg;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
ERZ;Erzgebirge;Erzgebirgskreis;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
ES;Esslingen am Neckar;Landkreis Esslingen;"Baden-Württemberg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Baden-Wuerttemberg.svg"" class=""flagfull"" alt=""Baden-Württemberg"" />"
ESB*;Eschenbach in der Oberpfalz;Landkreise Amberg-Sulzbach, Bayreuth, Neustadt an der Waldnaab & Nürnberger Land;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
ESW;Eschwege;Werra-Meißner-Kreis;"Hessen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Hessen.svg"" class=""flagfull"" alt=""Hessen"" />"
EU;Euskirchen;Kreis Euskirchen;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
EW*;Eberswalde;Landkreis Barnim;"Brandenburg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Brandenburg.svg"" class=""flagfull"" alt=""Brandenburg"" />"
F;Frankfurt;Stadt Frankfurt am Main;"Hessen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Hessen.svg"" class=""flagfull"" alt=""Hessen"" />"
FB;Friedberg (Hessen);Wetteraukreis;"Hessen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Hessen.svg"" class=""flagfull"" alt=""Hessen"" />"
FD;Fulda;Landkreis Fulda;"Hessen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Hessen.svg"" class=""flagfull"" alt=""Hessen"" />"
FDB*;Friedberg;Landkreis Aichach-Friedberg;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
FDS;Freudenstadt;Landkreis Freudenstadt;"Baden-Württemberg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Baden-Wuerttemberg.svg"" class=""flagfull"" alt=""Baden-Württemberg"" />"
FEU*;Feuchtwangen;Landkreis Ansbach;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
FF;Frankfurt;Stadt Frankfurt an der Oder;"Brandenburg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Brandenburg.svg"" class=""flagfull"" alt=""Brandenburg"" />"
FFB;Fürstenfeldbruck;Landkreis Fürstenfeldbruck;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
FG;Freiberg;Landkreis Mittelsachsen;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
FI*;Finsterwalde;Landkreis Elbe-Elster;"Brandenburg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Brandenburg.svg"" class=""flagfull"" alt=""Brandenburg"" />"
FL;Flensburg;Stadt Flensburg;"Schleswig-Holstein <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Schleswig-Holstein.svg"" class=""flagfull"" alt=""Schleswig-Holstein"" />"
FLÖ*;Flöha;Landkreis Mittelsachsen;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
FN;Friedrichshafen;Bodenseekreis;"Baden-Württemberg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Baden-Wuerttemberg.svg"" class=""flagfull"" alt=""Baden-Württemberg"" />"
FO;Forchheim;Landkreis Forchheim;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
FOR*;Forst (Lausitz);Landkreis Spree-Neiße;"Brandenburg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Brandenburg.svg"" class=""flagfull"" alt=""Brandenburg"" />"
FR;Freiburg im Breisgau;Stadt Freiburg im Breisgau & Landkreis Breisgau-Hochschwarzwald;"Baden-Württemberg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Baden-Wuerttemberg.svg"" class=""flagfull"" alt=""Baden-Württemberg"" />"
FRG;Freyung-Grafenau;Landkreis Freyung-Grafenau;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
FRI;Friesland;Landkreis Friesland;"Niedersachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Niedersachsen.svg"" class=""flagfull"" alt=""Niedersachsen"" />"
FRW*;Bad Freienwalde (Oder);Landkreis Märkisch-Oderland;"Brandenburg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Brandenburg.svg"" class=""flagfull"" alt=""Brandenburg"" />"
FS;Freising;Landkreis Freising;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
FT;Frankenthal;Stadt Frankenthal (Pfalz);"Rheinland-Pfalz <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Rheinland-Pfalz.svg"" class=""flagfull"" alt=""Rheinland-Pfalz"" />"
FTL*;Freital;Landkreis Sächsische Schweiz-Osterzgebirge;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
FÜ;Fürth;Stadt & Landkreis Fürth;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
FÜS*;Füssen;Landkreis Ostallgäu;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
G;Gera;Stadt Gera;"Thüringen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Thueringen.svg"" class=""flagfull"" alt=""Thüringen"" />"
GA*;Gardelegen;Altmarkkreis Salzwedel;"Sachsen-Anhalt <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen-Anhalt.svg"" class=""flagfull"" alt=""Sachsen-Anhalt"" />"
GAN*;Bad Gandersheim;Landkreis Northeim;"Niedersachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Niedersachsen.svg"" class=""flagfull"" alt=""Niedersachsen"" />"
GAP;Garmisch-Partenkirchen;Landkreis Garmisch-Partenkirchen;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
GC*;Glauchau;Landkreis Zwickau;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
GD;Schwäbisch Gmünd;Ostalbkreis;"Baden-Württemberg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Baden-Wuerttemberg.svg"" class=""flagfull"" alt=""Baden-Württemberg"" />"
GDB*;Gadebusch*;Landkreis Nordwestmecklenburg;"Mecklenburg-Vorpommern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Mecklenburg-Vorpommern.svg"" class=""flagfull"" alt=""Mecklenburg Vorpommern"" />"
GE;Gelsenkirchen;Stadt Gelsenkirchen;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
GEO*;Gerolzhofen;Landkreis Schweinfurt;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
GER;Germersheim;Landkreis Germersheim;"Rheinland-Pfalz <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Rheinland-Pfalz.svg"" class=""flagfull"" alt=""Rheinland-Pfalz"" />"
GF;Gifhorn;Landkreis Gifhorn;"Niedersachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Niedersachsen.svg"" class=""flagfull"" alt=""Niedersachsen"" />"
GG;Groß-Gerau;Landkreis Groß-Gerau;"Hessen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Hessen.svg"" class=""flagfull"" alt=""Hessen"" />"
GHA*;Geithain;Landkreis Leipzig;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
GHC*;Gräfenhainichen;Landkreis Wittenberg;"Sachsen-Anhalt <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen-Anhalt.svg"" class=""flagfull"" alt=""Sachsen-Anhalt"" />"
GI;Gießen;Landkreis Gießen;"Hessen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Hessen.svg"" class=""flagfull"" alt=""Hessen"" />"
GK*;Geilenkirchen;Kreis Heinsberg;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
GL;Bergisch Gladbach;Rheinisch-Bergischer Kreis;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
GLA*;Gladbeck;Kreis Recklinghausen;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
GM;Gummersbach;Oberbergischer Kreis;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
GMN*;Grimmen*;Landkreis Vorpommern-Rügen ohne Stralsund;"Mecklenburg-Vorpommern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Mecklenburg-Vorpommern.svg"" class=""flagfull"" alt=""Mecklenburg Vorpommern"" />"
GN;Gelnhausen;Main-Kinzig-Kreis ohne Hanau;"Hessen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Hessen.svg"" class=""flagfull"" alt=""Hessen"" />"
GNT*;Genthin;Landkreis Jerichower Land;"Sachsen-Anhalt <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen-Anhalt.svg"" class=""flagfull"" alt=""Sachsen-Anhalt"" />"
GÖ;Göttingen;Landkreis & Stadt Göttingen;"Niedersachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Niedersachsen.svg"" class=""flagfull"" alt=""Niedersachsen"" />"
GOA*;Sankt Goar;Rhein-Hunsrück-Kreis;"Rheinland-Pfalz <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Rheinland-Pfalz.svg"" class=""flagfull"" alt=""Rheinland-Pfalz"" />"
GOH*;Sankt Goarshausen;Rhein-Lahn-Kreis;"Rheinland-Pfalz <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Rheinland-Pfalz.svg"" class=""flagfull"" alt=""Rheinland-Pfalz"" />"
GP;Göppingen;Landkreis Göppingen;"Baden-Württemberg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Baden-Wuerttemberg.svg"" class=""flagfull"" alt=""Baden-Württemberg"" />"
GR*;Görlitz;Landkreis Görlitz;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
GRA*;Grafenau;Landkreis Freyung-Grafenau;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
GRH*;Großenhain;Landkreis Meißen;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
GRI;Bad Griesbach im Rottal;Landkreis Rottal-Inn;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
GRM*;Grimma;Landkreis Leipzig;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
GRZ;Greiz;Landkreis Greiz;"Thüringen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Thueringen.svg"" class=""flagfull"" alt=""Thüringen"" />"
GS;Goslar;Landkreis Goslar;"Niedersachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Niedersachsen.svg"" class=""flagfull"" alt=""Niedersachsen"" />"
GT;Gütersloh;Kreis Gütersloh;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
GTH;Gotha;Landkreis Gotha;"Thüringen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Thueringen.svg"" class=""flagfull"" alt=""Thüringen"" />"
GÜ*;Güstrow;Landkreis Rostock;"Mecklenburg-Vorpommern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Mecklenburg-Vorpommern.svg"" class=""flagfull"" alt=""Mecklenburg Vorpommern"" />"
GUB*;Guben;Landkreis Spree-Neiße;"Brandenburg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Brandenburg.svg"" class=""flagfull"" alt=""Brandenburg"" />"
GUN*;Gunzenhausen;Landkreis Weißenburg-Gunzenhausen;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
GVM*;Grevesmühlen*;Landkreis Nordwestmecklenburg;"Mecklenburg-Vorpommern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Mecklenburg-Vorpommern.svg"" class=""flagfull"" alt=""Mecklenburg Vorpommern"" />"
GW*;Greifswald;Landkreis Vorpommern-Greifswald ohne Greifswald;"Mecklenburg-Vorpommern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Mecklenburg-Vorpommern.svg"" class=""flagfull"" alt=""Mecklenburg Vorpommern"" />"
GZ;Günzburg;Landkreis Günzburg;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
H;Hannover;Region & Stadt Hannover;"Niedersachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Niedersachsen.svg"" class=""flagfull"" alt=""Niedersachsen"" />"
HA;Hagen;Stadt Hagen;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
HAB*;Hammelburg;Landkreis Bad Kissingen;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
HAL;Halle an der Saale;Stadt Halle an der Saale;"Sachsen-Anhalt <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen-Anhalt.svg"" class=""flagfull"" alt=""Sachsen-Anhalt"" />"
HAM;Hamm;Stadt Hamm;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
HAS;Haßfurt;Landkreis Haßberge;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
HB;Hansestadt Bremen;Städte Bremerhaven & Bremen;"Bremen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bremen.svg"" class=""flagfull"" alt=""Bremen"" />"
HBN;Hildburghausen;Landkreis Hildburghausen;"Thüringen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Thueringen.svg"" class=""flagfull"" alt=""Thüringen"" />"
HBS*;Halberstadt;Landkreis Harz;"Sachsen-Anhalt <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen-Anhalt.svg"" class=""flagfull"" alt=""Sachsen-Anhalt"" />"
HC*;Hainichen;Landkreis Mittelsachsen;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
HCH*;Hechingen;Zollernalbkreis;"Baden-Württemberg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Baden-Wuerttemberg.svg"" class=""flagfull"" alt=""Baden-Württemberg"" />"
HD;Heidelberg;Rhein-Neckar-Kreis & Stadt Heidelberg;"Baden-Württemberg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Baden-Wuerttemberg.svg"" class=""flagfull"" alt=""Baden-Württemberg"" />"
HDH;Heidenheim an der Brenz;Landkreis Heidenheim;"Baden-Württemberg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Baden-Wuerttemberg.svg"" class=""flagfull"" alt=""Baden-Württemberg"" />"
HDL*;Haldensleben;Landkreis Börde;"Sachsen-Anhalt <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen-Anhalt.svg"" class=""flagfull"" alt=""Sachsen-Anhalt"" />"
HE;Helmstedt;Landkreis Helmstedt;"Niedersachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Niedersachsen.svg"" class=""flagfull"" alt=""Niedersachsen"" />"
HEB*;Hersbruck;Landkreis Nürnberger Land;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
HEF;Bad Hersfeld;Landkreis Hersfeld-Rotenburg;"Hessen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Hessen.svg"" class=""flagfull"" alt=""Hessen"" />"
HEI;Heide (Holstein);Kreis Dithmarschen;"Schleswig-Holstein <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Schleswig-Holstein.svg"" class=""flagfull"" alt=""Schleswig-Holstein"" />"
HEL;Land Hessen;Landesregierung und Landtag;"Hessen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Hessen.svg"" class=""flagfull"" alt=""Hessen"" />"
HER;Herne;Stadt Herne;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
HET*;Hettstedt;Landkreis Mansfeld-Südharz;"Sachsen-Anhalt <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen-Anhalt.svg"" class=""flagfull"" alt=""Sachsen-Anhalt"" />"
HF;Herford;Kreis Herford;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
HG;Bad Homburg vor der Höhe;Hochtaunuskreis;"Hessen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Hessen.svg"" class=""flagfull"" alt=""Hessen"" />"
HGN*;Hagenow;Landkreis Ludwigslust-Parchim;"Mecklenburg-Vorpommern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Mecklenburg-Vorpommern.svg"" class=""flagfull"" alt=""Mecklenburg Vorpommern"" />"
HGW;Hansestadt Greifswald;Stadt Greifswald;"Mecklenburg-Vorpommern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Mecklenburg-Vorpommern.svg"" class=""flagfull"" alt=""Mecklenburg Vorpommern"" />"
HH;Hansestadt Hamburg;Freie und Hansestadt Hamburg;"Hamburg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Hamburg.svg"" class=""flagfull"" alt=""Hamburg"" />"
HHM*;Hohenmölsen;Burgenlandkreis;"Sachsen-Anhalt <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen-Anhalt.svg"" class=""flagfull"" alt=""Sachsen-Anhalt"" />"
HI;Hildesheim;Landkreis Hildesheim;"Niedersachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Niedersachsen.svg"" class=""flagfull"" alt=""Niedersachsen"" />"
HIG*;Heiligenstadt;Landkreis Eichsfeld;"Thüringen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Thueringen.svg"" class=""flagfull"" alt=""Thüringen"" />"
HIP*;Hilpoltstein;Landkreis Roth;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
HK;Heidekreis;Landkreis Heidekreis;"Niedersachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Niedersachsen.svg"" class=""flagfull"" alt=""Niedersachsen"" />"
HL;Hansestadt Lübeck;Stadt Lübeck;"Schleswig-Holstein <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Schleswig-Holstein.svg"" class=""flagfull"" alt=""Schleswig-Holstein"" />"
HM;Hameln;Landkreis Hameln-Pyrmont;"Niedersachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Niedersachsen.svg"" class=""flagfull"" alt=""Niedersachsen"" />"
HMÜ*;Hannover Münden;Landkreis Göttingen;"Niedersachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Niedersachsen.svg"" class=""flagfull"" alt=""Niedersachsen"" />"
HN;Heilbronn;Landkreis & Stadt Heilbronn;"Baden-Württemberg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Baden-Wuerttemberg.svg"" class=""flagfull"" alt=""Baden-Württemberg"" />"
HO;Hof;Landkreis & Stadt Hof;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
HOG*;Hofgeismar;Landkreis Kassel;"Hessen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Hessen.svg"" class=""flagfull"" alt=""Hessen"" />"
HOL;Holzminden;Landkreis Holzminden;"Niedersachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Niedersachsen.svg"" class=""flagfull"" alt=""Niedersachsen"" />"
HOM;Homburg;Saarpfalz-Kreis ohne St. Ingbert;"Saarland <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Saarland.svg"" class=""flagfull"" alt=""Saarland"" />"
HOT*;Hohenstein-Ernstthal;Landkreis Zwickau;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
HP;Heppenheim (Bergstraße);Landkreis Bergstraße;"Hessen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Hessen.svg"" class=""flagfull"" alt=""Hessen"" />"
HR;Homberg (Efze);Schwalm-Eder-Kreis;"Hessen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Hessen.svg"" class=""flagfull"" alt=""Hessen"" />"
HRO;Hansestadt Rostock;Stadt Rostock;"Mecklenburg-Vorpommern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Mecklenburg-Vorpommern.svg"" class=""flagfull"" alt=""Mecklenburg Vorpommern"" />"
HS;Heinsberg;Kreis Heinsberg;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
HSK;Hochsauerlandkreis;Hochsauerlandkreis;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
HST;Hansestadt Stralsund;Stadt Stralsund;"Mecklenburg-Vorpommern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Mecklenburg-Vorpommern.svg"" class=""flagfull"" alt=""Mecklenburg Vorpommern"" />"
HU;Hanau;Stadt Hanau;"Hessen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Hessen.svg"" class=""flagfull"" alt=""Hessen"" />"
HV*;Havelberg;Landkreis Stendal;"Sachsen-Anhalt <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen-Anhalt.svg"" class=""flagfull"" alt=""Sachsen-Anhalt"" />"
HVL;Havelland;Landkreis Havelland;"Brandenburg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Brandenburg.svg"" class=""flagfull"" alt=""Brandenburg"" />"
